created_date,wkday,hr,website_sessions
2012-10-30,1,1,6
2012-10-30,1,2,5
2012-10-30,1,3,3
2012-10-30,1,4,4
2012-10-30,1,5,6
2012-10-30,1,6,5
2012-10-30,1,7,16
2012-10-30,1,8,22
2012-10-30,1,9,18
2012-10-30,1,10,18
2012-10-30,1,11,24
2012-10-30,1,12,23
2012-10-30,1,13,25
2012-10-30,1,14,17
2012-10-30,1,15,19
2012-10-30,1,16,14
2012-10-30,1,17,14
2012-10-30,1,18,11
2012-10-30,1,19,23
2012-10-30,1,20,15
2012-10-30,1,21,8
2012-10-30,1,22,11
2012-10-30,1,23,10
2012-10-31,2,0,5
2012-10-31,2,1,7
2012-10-31,2,2,2
2012-10-31,2,3,7
2012-10-31,2,4,2
2012-10-31,2,5,6
2012-10-31,2,6,2
2012-10-31,2,7,7
2012-10-31,2,8,13
2012-10-31,2,9,25
2012-10-31,2,10,20
2012-10-31,2,11,41
2012-10-31,2,12,21
2012-10-31,2,13,20
2012-10-31,2,14,20
2012-10-31,2,15,29
2012-10-31,2,16,30
2012-10-31,2,17,24
2012-10-31,2,18,21
2012-10-31,2,19,11
2012-10-31,2,20,15
2012-10-31,2,21,14
2012-10-31,2,22,11
2012-10-31,2,23,9
2012-11-01,3,0,4
2012-11-01,3,1,6
2012-11-01,3,2,3
2012-11-01,3,3,6
2012-11-01,3,4,3
2012-11-01,3,5,5
2012-11-01,3,6,7
2012-11-01,3,7,12
2012-11-01,3,8,20
2012-11-01,3,9,15
2012-11-01,3,10,22
2012-11-01,3,11,22
2012-11-01,3,12,24
2012-11-01,3,13,18
2012-11-01,3,14,23
2012-11-01,3,15,23
2012-11-01,3,16,24
2012-11-01,3,17,19
2012-11-01,3,18,16
2012-11-01,3,19,12
2012-11-01,3,20,11
2012-11-01,3,21,9
2012-11-01,3,22,12
2012-11-01,3,23,14
2012-11-02,4,0,10
2012-11-02,4,1,4
2012-11-02,4,2,5
2012-11-02,4,3,5
2012-11-02,4,4,3
2012-11-02,4,5,6
2012-11-02,4,6,10
2012-11-02,4,7,3
2012-11-02,4,8,9
2012-11-02,4,9,16
2012-11-02,4,10,11
2012-11-02,4,11,22
2012-11-02,4,12,19
2012-11-02,4,13,27
2012-11-02,4,14,15
2012-11-02,4,15,26
2012-11-02,4,16,23
2012-11-02,4,17,11
2012-11-02,4,18,14
2012-11-02,4,19,26
2012-11-02,4,20,14
2012-11-02,4,21,9
2012-11-02,4,22,2
2012-11-02,4,23,11
2012-11-03,5,0,6
2012-11-03,5,1,3
2012-11-03,5,2,4
2012-11-03,5,3,2
2012-11-03,5,4,5
2012-11-03,5,5,3
2012-11-03,5,6,3
2012-11-03,5,7,6
2012-11-03,5,8,6
2012-11-03,5,9,10
2012-11-03,5,10,8
2012-11-03,5,11,14
2012-11-03,5,12,9
2012-11-03,5,13,10
2012-11-03,5,14,12
2012-11-03,5,15,9
2012-11-03,5,16,11
2012-11-03,5,17,8
2012-11-03,5,18,3
2012-11-03,5,19,10
2012-11-03,5,20,9
2012-11-03,5,21,5
2012-11-03,5,22,5
2012-11-03,5,23,5
2012-11-04,6,0,3
2012-11-04,6,1,3
2012-11-04,6,2,5
2012-11-04,6,3,4
2012-11-04,6,4,3
2012-11-04,6,5,3
2012-11-04,6,6,1
2012-11-04,6,7,5
2012-11-04,6,8,7
2012-11-04,6,9,10
2012-11-04,6,10,7
2012-11-04,6,11,9
2012-11-04,6,12,2
2012-11-04,6,13,10
2012-11-04,6,14,9
2012-11-04,6,15,12
2012-11-04,6,16,7
2012-11-04,6,17,4
2012-11-04,6,18,3
2012-11-04,6,19,9
2012-11-04,6,20,12
2012-11-04,6,21,7
2012-11-04,6,22,10
2012-11-04,6,23,8
2012-11-05,0,0,12
2012-11-05,0,1,10
2012-11-05,0,2,6
2012-11-05,0,3,6
2012-11-05,0,4,9
2012-11-05,0,5,5
2012-11-05,0,6,6
2012-11-05,0,7,6
2012-11-05,0,8,11
2012-11-05,0,9,21
2012-11-05,0,10,24
2012-11-05,0,11,26
2012-11-05,0,12,16
2012-11-05,0,13,24
2012-11-05,0,14,25
2012-11-05,0,15,19
2012-11-05,0,16,32
2012-11-05,0,17,14
2012-11-05,0,18,14
2012-11-05,0,19,17
2012-11-05,0,20,12
2012-11-05,0,21,11
2012-11-05,0,22,10
2012-11-05,0,23,15
2012-11-06,1,0,6
2012-11-06,1,1,7
2012-11-06,1,2,3
2012-11-06,1,3,4
2012-11-06,1,4,9
2012-11-06,1,5,2
2012-11-06,1,6,8
2012-11-06,1,7,9
2012-11-06,1,8,16
2012-11-06,1,9,23
2012-11-06,1,10,23
2012-11-06,1,11,20
2012-11-06,1,12,35
2012-11-06,1,13,21
2012-11-06,1,14,36
2012-11-06,1,15,16
2012-11-06,1,16,29
2012-11-06,1,17,23
2012-11-06,1,18,24
2012-11-06,1,19,12
2012-11-06,1,20,15
2012-11-06,1,21,18
2012-11-06,1,22,12
2012-11-06,1,23,9
2012-11-07,2,0,8
2012-11-07,2,1,6
2012-11-07,2,2,11
2012-11-07,2,3,3
2012-11-07,2,4,4
2012-11-07,2,5,4
2012-11-07,2,6,3
2012-11-07,2,7,7
2012-11-07,2,8,13
2012-11-07,2,9,22
2012-11-07,2,10,28
2012-11-07,2,11,36
2012-11-07,2,12,30
2012-11-07,2,13,28
2012-11-07,2,14,28
2012-11-07,2,15,30
2012-11-07,2,16,24
2012-11-07,2,17,25
2012-11-07,2,18,12
2012-11-07,2,19,13
2012-11-07,2,20,17
2012-11-07,2,21,12
2012-11-07,2,22,6
2012-11-07,2,23,13
2012-11-08,3,0,6
2012-11-08,3,1,3
2012-11-08,3,2,8
2012-11-08,3,3,1
2012-11-08,3,4,8
2012-11-08,3,5,5
2012-11-08,3,6,10
2012-11-08,3,7,11
2012-11-08,3,8,9
2012-11-08,3,9,20
2012-11-08,3,10,11
2012-11-08,3,11,26
2012-11-08,3,12,27
2012-11-08,3,13,25
2012-11-08,3,14,24
2012-11-08,3,15,20
2012-11-08,3,16,26
2012-11-08,3,17,17
2012-11-08,3,18,10
2012-11-08,3,19,7
2012-11-08,3,20,10
2012-11-08,3,21,11
2012-11-08,3,22,17
2012-11-08,3,23,14
2012-11-09,4,0,6
2012-11-09,4,1,7
2012-11-09,4,2,6
2012-11-09,4,3,5
2012-11-09,4,4,11
2012-11-09,4,5,6
2012-11-09,4,6,14
2012-11-09,4,7,9
2012-11-09,4,8,13
2012-11-09,4,9,17
2012-11-09,4,10,23
2012-11-09,4,11,27
2012-11-09,4,12,18
2012-11-09,4,13,18
2012-11-09,4,14,20
2012-11-09,4,15,21
2012-11-09,4,16,23
2012-11-09,4,17,19
2012-11-09,4,18,14
2012-11-09,4,19,17
2012-11-09,4,20,9
2012-11-09,4,21,8
2012-11-09,4,22,11
2012-11-09,4,23,3
2012-11-10,5,0,7
2012-11-10,5,1,2
2012-11-10,5,2,6
2012-11-10,5,3,5
2012-11-10,5,5,5
2012-11-10,5,6,10
2012-11-10,5,7,12
2012-11-10,5,9,9
2012-11-10,5,10,18
2012-11-10,5,11,6
2012-11-10,5,12,9
2012-11-10,5,13,5
2012-11-10,5,14,9
2012-11-10,5,15,11
2012-11-10,5,16,4
2012-11-10,5,17,8
2012-11-10,5,18,11
2012-11-10,5,19,7
2012-11-10,5,20,5
2012-11-10,5,21,9
2012-11-10,5,22,7
2012-11-10,5,23,3
2012-11-11,6,0,5
2012-11-11,6,1,2
2012-11-11,6,2,3
2012-11-11,6,3,4
2012-11-11,6,4,3
2012-11-11,6,5,3
2012-11-11,6,6,2
2012-11-11,6,7,7
2012-11-11,6,8,2
2012-11-11,6,9,9
2012-11-11,6,10,8
2012-11-11,6,11,12
2012-11-11,6,12,9
2012-11-11,6,13,13
2012-11-11,6,14,6
2012-11-11,6,15,12
2012-11-11,6,16,5
2012-11-11,6,17,2
2012-11-11,6,18,8
2012-11-11,6,19,3
2012-11-11,6,20,12
2012-11-11,6,21,16
2012-11-11,6,22,10
2012-11-11,6,23,7
2012-11-12,0,0,12
2012-11-12,0,1,7
2012-11-12,0,2,5
2012-11-12,0,3,8
2012-11-12,0,4,3
2012-11-12,0,5,2
2012-11-12,0,6,4
2012-11-12,0,7,4
2012-11-12,0,8,15
2012-11-12,0,9,21
2012-11-12,0,10,16
2012-11-12,0,11,20
2012-11-12,0,12,24
2012-11-12,0,13,18
2012-11-12,0,14,18
2012-11-12,0,15,23
2012-11-12,0,16,20
2012-11-12,0,17,29
2012-11-12,0,18,12
2012-11-12,0,19,11
2012-11-12,0,20,15
2012-11-12,0,21,11
2012-11-12,0,22,13
2012-11-12,0,23,8
2012-11-13,1,0,9
2012-11-13,1,1,3
2012-11-13,1,2,4
2012-11-13,1,3,7
2012-11-13,1,4,10
2012-11-13,1,5,7
2012-11-13,1,6,6
2012-11-13,1,7,13
2012-11-13,1,8,12
2012-11-13,1,9,18
2012-11-13,1,10,14
2012-11-13,1,11,19
2012-11-13,1,12,22
2012-11-13,1,13,27
2012-11-13,1,14,19
2012-11-13,1,15,20
2012-11-13,1,16,30
2012-11-13,1,17,13
2012-11-13,1,18,14
2012-11-13,1,19,16
2012-11-13,1,20,11
2012-11-13,1,21,15
2012-11-13,1,22,10
2012-11-13,1,23,10
2012-11-14,2,0,9
2012-11-14,2,1,5
2012-11-14,2,2,1
2012-11-14,2,3,2
2012-11-14,2,4,9
2012-11-14,2,5,7
2012-11-14,2,6,4
2012-11-14,2,7,8
2012-11-14,2,8,13
2012-11-14,2,9,24
2012-11-14,2,10,21
2012-11-14,2,11,20
2012-11-14,2,12,23
2012-11-14,2,13,22
2012-11-14,2,14,23
2012-11-14,2,15,26
2012-11-14,2,16,27
2012-11-14,2,17,17
2012-11-14,2,18,21
2012-11-14,2,19,17
2012-11-14,2,20,17
2012-11-14,2,21,14
2012-11-14,2,22,8
2012-11-14,2,23,7
